"site","sample","pcr1","pcr2","pcr3","pcr4","pcr5","pcr6"
"Tillas Slough",9,1,1,0,1,1,1
"Lake Earl",9,0,1,1,0,0,0
"Klamath River",9,0,0,0,1,1,0
"Stone Lagoon",9,1,1,0,1,0,1
"Big Lagoon",9,1,1,1,1,1,1
"Little River",9,0,0,0,0,0,0
"Mad River",9,0,0,0,0,0,0
"Klopp Lake",9,0,0,0,0,0,0
"Gannon Slough",9,0,0,0,0,0,0
"Hwy 101 ditch",9,0,0,0,1,0,1
"Martin Slough ",9,0,0,0,0,0,0
"HBNWR SCU North",9,0,0,0,0,0,0
"Ocean Ranch",9,1,1,0,1,1,0
"Salt River",9,0,0,0,0,1,1
"Eel River Estuary Preserve",9,1,1,1,1,1,1
"Ten Mile River",9,1,1,0,1,0,1
"Noyo River",9,0,0,0,0,0,0
"Big River",9,0,0,0,0,0,0
"Navarro River",9,0,0,0,0,0,0
"Garcia River",9,0,0,0,0,0,0
"Hunter Creek",10,0,0,0,0,0,0
"Pistol River",10,0,0,0,0,0,0
"Winchuck River",10,0,0,0,0,0,0
"Tillas Slough",10,1,0,0,0,1,1
"Lake Earl",10,1,0,0,0,1,0
"Klamath River",10,1,1,1,1,1,1
"Stone Lagoon",10,0,0,0,0,0,0
"Big Lagoon",10,1,1,1,1,1,1
"Little River",10,0,0,0,0,0,0
"Mad River",10,0,0,0,0,0,0
"Gannon Slough",10,0,0,0,0,0,0
"Hwy 101 ditch",10,0,1,0,0,0,0
"HBNWR SCU North",10,0,1,0,0,0,0
"Ocean Ranch",10,1,1,1,1,1,1
"Eel River Estuary Preserve",10,0,1,1,0,0,1
"Ten Mile River",10,1,0,1,1,0,0
"Noyo River",10,0,0,0,0,0,0
"Big River",10,0,0,0,0,0,0
"Navarro River",10,0,0,0,0,0,0
"Garcia River",10,0,0,0,0,0,0
"Hunter Creek",11,0,0,0,0,0,0
"Pistol River",11,0,0,0,0,0,0
"Winchuck River",11,0,0,0,0,0,0
"Lake Earl",11,0,0,0,0,0,0
"Stone Lagoon",11,1,1,0,1,1,1
"Big Lagoon",11,1,1,1,1,1,1
"Little River",11,0,0,0,0,0,0
"Mad River",11,0,0,0,0,0,0
"Gannon Slough",11,0,0,0,0,0,0
"HBNWR SCU North",11,0,1,1,0,0,0
"Ocean Ranch",11,1,1,1,1,1,1
"Eel River Estuary Preserve",11,1,0,1,1,1,0
"Ten Mile River",11,0,0,0,0,0,0
"Big River",11,0,0,0,0,0,0
"Lake Earl",12,1,1,1,1,1,1
"Stone Lagoon",12,1,1,1,1,1,1
"Big Lagoon",12,1,1,1,1,1,1
"Gannon Slough",12,0,0,0,0,0,0
"Ocean Ranch",12,1,0,0,1,0,0
"Eel River Estuary Preserve",12,1,0,1,1,1,1
"Lake Earl",13,1,1,1,1,1,0
"Stone Lagoon",13,1,1,1,1,0,0
"Big Lagoon",13,1,1,1,1,1,1
"Ocean Ranch",13,1,1,1,1,1,1
"Eel River Estuary Preserve",13,1,0,1,0,1,1
"Lake Earl",14,1,1,1,1,1,0
"Stone Lagoon",14,1,1,1,1,1,1
"Big Lagoon",14,1,1,1,1,1,1
"Ocean Ranch",14,0,0,0,0,0,0
"Lake Earl",15,1,1,1,1,1,1
"Stone Lagoon",15,1,1,1,1,1,0
"Big Lagoon",15,1,1,1,1,1,1
"Ocean Ranch",15,0,0,0,0,1,0
"Lake Earl",16,1,1,1,1,1,1
"Stone Lagoon",16,0,1,0,1,1,0
"Big Lagoon",16,0,1,1,1,1,1
"Lake Earl",17,1,1,1,1,1,1
"Stone Lagoon",17,0,1,1,1,1,1
"Big Lagoon",17,1,1,1,1,1,1
"Lake Earl",18,0,1,1,1,1,1
"Stone Lagoon",18,1,1,1,1,1,1
"Big Lagoon",18,1,1,0,1,1,1
"Lake Earl",19,0,1,1,1,1,1
"Stone Lagoon",19,1,1,1,1,1,1
"Big Lagoon",19,1,1,1,1,1,1
"Lake Earl",20,0,0,1,1,1,1
"Stone Lagoon",20,1,1,1,1,1,1
"Big Lagoon",20,1,1,1,1,1,1
"Big Lagoon",21,1,1,1,1,1,1
"Big Lagoon",22,1,1,1,1,1,1
"Big Lagoon",23,1,1,1,1,1,1
